Location,Level,Job Type,Contract Type,Experience,Tech Stacks,Salary,Time
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,3 years,"ERP, IT Consultant, ERP Consultant",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,"Linux, Git, DevOps, AWS, CI/CD",From 27.000.000 VND,3 days ago
 Thành phố Hà Nội,Middle,In Office,Fulltime,4 years,"C#, .NET, ERP, SQL Server, Database",Negotiable,3 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Linux, Python, DevOps",30.000.000 VND to 50.000.000 VND,3 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Oracle, SQL, MariaDB",30.000.000 VND to 50.000.000 VND,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"Java, Python, C/C++, C, Microsoft 365",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"SQL, Tester, API, Manual Tester",Negotiable,3 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Android, iOS",1.000 USD to 2.000 USD,3 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"SQL, Kubernetes, SysOps",30.000.000 VND to 50.000.000 VND,3 days ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,5 years,"Business Analyst, Axure Rp",2.000 USD to 2.500 USD,3 days ago
 Thành phố Hồ Chí Minh,Junior,In Office,Fulltime,1 year,"System Admin, IT Support, IT System",10.000.000 VND to 20.000.000 VND,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"PHP, JavaScript, WordPress",15.000.000 VND to 25.000.000 VND,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,".NET, Back-End, .NET Core",Negotiable,3 days ago
 Thành phố Hà Nội,Fresher,In Office,Fulltime,Not required,"Java, C#, Python",Negotiable,3 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,7 years,"Java, Software Architect, Spring Boot, Solution Architect",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,Leader,In Office,Fulltime,3 years,"ERP, Technical Leader, SAP",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,Intern,In Office,Fulltime,Not required,"SQL, NodeJS, ReactJS",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,2 years,"Python, Big Data, ETL",700 USD to 1.500 USD,3 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Oracle, SQL, ERP",Negotiable,3 days ago
 Thành phố Đà Nẵng,"Middle, Senior",In Office,Fulltime,2 years,"ASP.NET, .NET, .NET Core",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,Middle,In Office,Fulltime,2 years,"Tester, QA/QC, Manual Test",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,5 years,"PHP, JavaScript, NodeJS",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,"Python, Tester, Automation Tester",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,2 years,"Java, NodeJS, .NET",15.000.000 VND to 20.000.000 VND,3 days ago
 Thành phố Hồ Chí Minh,Leader,In Office,Fulltime,5 years,"Java, JavaScript, Project Leader",Negotiable,3 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",Remote,Fulltime,1 year,"NodeJS, .NET, ReactJS",Negotiable,4 days ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Product Manager, Project Manager",20.000.000 VND to 40.000.000 VND,4 days ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"DevOps, Docker, Kubernetes",15.000.000 VND to 35.000.000 VND,4 days ago
 Thành phố Hồ Chí Minh,All Levels,In Office,Fulltime,Not required,"System Admin, Network, System Engineer",Negotiable,4 days ago
 Thành phố Hà Nội,All Levels,In Office,Fulltime,Not required,"QA, Tester, Manual Test",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,1 year,"PHP, JavaScript, HTML",Negotiable,4 days ago
